"Kod";"Nazwa";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
0000000;"POLSKA";863774254,05;990322996,17;1542011162,39;2507511387,43;2673796065,60;2923932690,24;3596909825,10;
0200000;"DOLNOŚLĄSKIE";49678737,37;68095460,25;74339810,35;139744873,77;168363787,11;154630495,38;218316333,13;
0400000;"KUJAWSKO-POMORSKIE";43943721,43;53342626,17;71042536,45;158030804,03;207346786,53;180862040,65;203681863,49;
0600000;"LUBELSKIE";11734495,21;37800107,94;135733334,14;112139356,78;77142929,97;100877777,97;201540299,12;
0800000;"LUBUSKIE";41278818,95;30690553,20;56840186,63;132621021,42;75640877,88;54564981,97;115609587,03;
1000000;"ŁÓDZKIE";18276465,48;33798901,95;56374272,05;136495406,02;178006104,46;175543488,76;215214283,38;
1200000;"MAŁOPOLSKIE";22956041,52;38849885,71;70220508,18;289445717,56;224177813,74;233766440,79;256897655,34;
1400000;"MAZOWIECKIE";239587324,74;276396980,92;365869862,62;605390412,56;709060115,24;746878531,85;857225121,41;
1600000;"OPOLSKIE";5139543,46;15076213,89;13661309,50;56370221,18;43909070,21;81408127,80;61641422,13;
1800000;"PODKARPACKIE";82260038,39;45589290,27;75139721,97;102598362,37;91614328,23;126783331,88;163735805,00;
2000000;"PODLASKIE";32173659,19;40938368,41;77627545,11;76193307,21;78668096,32;90076108,25;95087909,40;
2200000;"POMORSKIE";85676298,42;64697853,62;132258703,26;127541821,72;172539992,42;179632790,92;297811263,74;
2400000;"ŚLĄSKIE";65030734,40;99713249,74;106112373,09;163899295,80;135658571,78;245047671,76;286107367,41;
2600000;"ŚWIĘTOKRZYSKIE";17178862,87;28874300,55;41977642,50;53986075,74;55540124,95;68279609,71;93693181,93;
2800000;"WARMIŃSKO-MAZURSKIE";7290223,00;12660007,97;18942597,68;27590620,68;57161384,53;36825576,14;44537505,60;
3000000;"WIELKOPOLSKIE";119933207,36;127673359,41;219714249,46;285393765,18;362232349,45;385769243,12;392960965,33;
3200000;"ZACHODNIOPOMORSKIE";21636082,26;16125836,17;26156509,40;40070325,41;36733732,78;62986473,29;92849261,66;
